,side,beta,std,pval,strain,experiment,significant,corrected pval
0,Beneficial,-1357.494799798056,861.9582541307302,0.3027505760957168,S,S,0,0.39179486318269235
1,Deleterious,531.9065969461496,156.7405967441764,1.3206959359258316e-07,S,S,1,2.9055310590368295e-06
2,Beneficial,384.1019380149628,422.1523042226031,0.35668058667578884,S,A,0,0.43594293927040856
3,Deleterious,306.2714303735306,90.47312471709165,1.9763176967703075e-05,S,A,1,0.00014492996442982256
4,Beneficial,353.0209715805871,1118.5500931086622,0.5363760021362396,S,C,0,0.5900136023498636
5,Deleterious,162.67445611332434,87.40596878102092,0.10704510326265693,S,C,0,0.16821373369846088
6,Beneficial,713.2111553783369,805.9476032538198,0.13277873037371613,S,FS,0,0.19820458830486384
7,Deleterious,258.4045928772856,70.97731934965068,0.0009502461742176597,S,FS,1,0.0029864879761126446
8,Beneficial,193.1267836488446,260.90386658362763,0.5128906755533534,S,G,0,0.5786458903678859
9,Deleterious,-11.472465215962373,81.04371257560675,0.9210658171011489,S,G,0,0.9333763753150667
10,Beneficial,743.610224986435,842.9278263608711,0.3153563034051524,S,M,0,0.39644792428076303
11,Deleterious,449.7449410593239,99.64574850382633,9.57946838259492e-08,S,M,1,2.9055310590368295e-06
12,Beneficial,2330.366356528892,1171.9962615528173,0.016625507579821775,S,P,1,0.03657611667560791
13,Deleterious,339.07145013675347,126.14996611711231,0.003362471204927997,S,P,1,0.009246795813551992
14,Beneficial,1129.6752388311486,1899.9588352911455,0.5100621731702102,S,WS,0,0.5786458903678859
15,Deleterious,618.3107428131258,180.29014381981568,3.6169448342632166e-06,S,WS,1,3.182911454151631e-05
16,Beneficial,91.54690789551137,1206.3232625218068,0.9333763753150667,L,L,0,0.9333763753150667
17,Deleterious,648.3902423694889,286.97770409719476,0.0002209538412180032,L,L,1,0.0008462634795695453
18,Beneficial,474.5243316760949,790.9491207901391,0.4792284628422132,L,B,0,0.569893307163713
19,Deleterious,538.2832846371084,178.648423207199,0.0001606038291822806,L,B,1,0.0007066568484020347
20,Beneficial,136.9096259031187,248.09018535771642,0.5924767754812315,L,D,0,0.635828734662785
21,Deleterious,321.5846205375398,149.23500296788518,0.0362504741729007,L,D,0,0.0725009483458014
22,Beneficial,102.45060544276203,743.3157484644055,0.8891957129886101,L,FL,0,0.9315383659880677
23,Deleterious,744.2122863024173,226.44909862479497,0.0001166529257930068,L,FL,1,0.0006074363752026855
24,Beneficial,488.02011086822944,356.3847740770934,0.04911367740848748,L,H,0,0.09395660025971518
25,Deleterious,477.5322826447329,151.42756245705664,4.774639713906377e-05,L,H,1,0.00030012021058840085
26,Beneficial,2163.9113342798696,1104.8121995457743,0.004818291276822597,L,N,1,0.012470871540011428
27,Deleterious,723.1770824296294,203.86020596624925,1.3473535934796338e-06,L,N,1,1.5128476258105723e-05
28,Beneficial,694.1298902951609,555.9076824451176,0.10667360991112473,L,Q,0,0.16821373369846088
29,Deleterious,361.829007643791,107.60322125054284,0.008363265208215537,L,Q,1,0.020443537175637978
30,Beneficial,1291.6919015152735,638.8990772141912,0.014058850657634557,L,WL,1,0.03255733836504845
31,Deleterious,234.65322960664815,150.73859883077773,0.13513949202604353,L,WL,0,0.19820458830486384
32,Beneficial,1444.1364897919245,540.5478932668849,0.00025003239169100203,L,V,1,0.0008462634795695453
33,Deleterious,284.9172093415523,189.35923005034368,0.09554642882628096,L,V,0,0.16816171473425448
34,Beneficial,542.4143188543788,343.3909113639525,0.02388869372331904,R,R,0,0.05005250113457322
35,Deleterious,344.53384616889514,97.65436708638082,0.0013337608912417883,R,R,1,0.003912365280975913
36,Beneficial,191.57400301287436,119.43124604093299,0.22092257024892203,R,I,0,0.3037685340922678
37,Deleterious,111.49374139066737,65.92721188620426,0.1031468818333959,R,I,0,0.16821373369846088
38,Beneficial,388.88647143225273,374.5575783053475,0.21169397894233552,R,O,0,0.30046887333750844
39,Deleterious,494.74991271388024,140.74149064522405,0.00012424834947327658,R,O,1,0.0006074363752026855
40,Beneficial,484.69353392444015,106.36597805168279,1.3753160234641567e-06,R,T,1,1.5128476258105723e-05
41,Deleterious,126.80738548153965,57.15383020893581,0.05286387793570139,R,T,0,0.09691710954878588
42,Beneficial,274.95199623627803,245.59348484286815,0.23176251991700172,R,U,0,0.30901669322266895
43,Deleterious,491.93090964734216,151.89704406040042,0.00023629774548777663,R,U,1,0.0008462634795695453
